,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
"Ноутбук 15.6"" Pro Fortis M Ryzen 5 5600U/8/SSD512/W11Pro",42 847 ₽,"15.6""",512 Гб,8 ГБ,6,"ноутбук - 1шт, сетевой адаптер - 1шт, краткое руководство - 1шт",4250 мА*ч,1.87 кг,Windows
"Ноутбук HP ProBook 450 G8 15.6"" i5-1135U/16Gb/512Gb(59S03EA)",119 250 ₽,15.6,512,16 ГБ,4,"Ноутбук, блок питания, документация",,1.74 кг,Windows Pro
Ноутбук 17-cn1002ny Black (60V13EA),84 990 ₽,"17.3""",512 Гб,8 ГБ,4,Ноутбук HP; блок питания; аккумулятор; инструкция,41 Втч,2.08 кг,Windows
"Ноутбук HP 255 G8 15"" FHD IPS AMD Ryzen 5 5500U 2.1ГГц",49 900 ₽,"15,6",256; 256 Гб,8; 8 ГБ,6,,41 Вт*ч,1.7 кг,Windows
Ноутбук Megabook T1 (i3) 12/256Гб Windows 11,36 111 ₽,"15.6""",256 Гб,12 ГБ,2,"документация, адаптер питания",70 Вт*ч,1.48 кг,Windows
"Ноутбук ASUS VIVOBOOK Pro 14 Ryzen 5 5600H/8Gb/SSD256Gb/14""/QHD/Win11/silver",56 103 ₽,14,256 Гб,8 GB,6,Ноутбук - 1 шт,,1.45 кг,
"Ноутбук Apple MacBook Pro 16"" Английская клавиатура",286 994 ₽,16',512,16 ГБ,12,ноутбук; кабель для зарядки; документация,,,macOS
Ноутбук Lenovo Legion 5 i5 12500H/16Гб/512SSD/RTX 3060/144Hz,111 993 ₽,15.6,512 Гб,16; 16ГБ,12,,,2.4 кг,DOS; не установлено
"Ноутбук игровой 15.6"" S7-DA5NP",68 592 ₽,"15.6""",512 Гб,16 ГБ,8,документация,,2.15 кг,noOS
Ноутбук HP 255 G9 FHD TN/AMD Ryzen 3-5425U 256Гб SSD,44 900 ₽,"15,6",Отсутствует,8 ГБ; 8,4,,,1.7 кг,Windows 11 Pro
"Ноутбук ASUS ExpertBook i7/16Gb/512SSD/15.6""FHD/W11",115 140 ₽,15.6,512,16 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.73 кг,Windows Home
Ноутбук игровой MSI GF63 Thin 11UD-254XRU DOS,78 000 ₽,15.6,256 гб,8 гб,6,,,,DOS
Ноутбук ASUS Vivobook 15X OLED I3 1220P/8Гб/512SSD/Win11,68 392 ₽,"15.6""",512 Гб,8,10,,,,Windows; Windows 11; WIN11 64 bit
Ноутбук Lenovo IdeaPad 3 i5 1235U/8ГБ/512SSD/15.6/Win11,60 473 ₽,"15.6""",512 Гб,8,10,,,,Windows 11; WIN11; Windows
"Ноутбук Lenovo IP Gaming 3 15ACH6 Ryzen 5 5600H 8Gb SSD512Gb NVIDIA GeForce RTX 3050 4Gb 15.6""",92 630 ₽,15.6,512,8 ГБ,6,Инструкция - 1 шт; Ноутбук - 1 шт,,,
Ноутбук HIPER EXPERTBOOK BQ3LVDDQ,70 423 ₽,"15,6",256 Гб,8 ГБ,6,ноутбук; зарядное устройство; документация,4800 мА*ч,1.7 кг,Без ОС
Ноутбук Acer Extensa 15 EX215-54-34XN,67 242 ₽,"15.6""",512 гб,8 гб,2,"зарядное устройство, документация",37 Вт*ч,1.94 кг,Windows 10 Pro
MacBook Pro 14/M2 Pro/16/512 (Space Grey),182 591 ₽,"14.2""",512 ГБ,16 ГБ,10,Macbook; документация; зарядное устройство; кабель,,1.6 кг,macOS
"Ноутбук игровой MSI Sword15 15.6""i7/16Gb/512SSD/RTX3060/DOS",128 940 ₽,15.6,512,16 ГБ,14,"Ноутбук, зарядное устройство, документация",,2.25 кг,Без системы
Игровой Ноутбук ROG Strix G15 15.6 32ГБ/1ТБ/3070Ti,193 975 ₽,15.6,1 Тб,32,8,документация; адаптер питания; ноутбук,90 Вт·ч,2.3 кг,Без операционной системы
"Ноутбук HP Pavilion Aero 13-be1029ci/13.3""/8Gb (6K3C2EA)",65 263 ₽,"13.3""",512 Гб,8,6,,,,Windows 11
Ноутбук ASUS VivoBook S 16X M5602QA-KV104W,95 763 ₽,"16 """,512 гб,16 гб,6,Ноутбук; зарядное устройство; документация,70 Втч,1.9 кг,Windows 11 Home
"Ноутбук Redmi G Pro 16.1"" 2022",139 826 ₽,16.1,512 ГБ,16,8,"ноутбук, зарядное устройство",,2.3 кг,Windows
Ноутбук Acer Aspire 1 A115-22-R2DZ NX.A7NER.00F,30 749 ₽,"15.6""",128 гб,4 гб,2,Ноутбук; адаптер питания; документация,,1.8 кг,Windows 11 Home
Ноутбук Lenovo 82KU0020RE,44 659 ₽,"15.6""",256 Гб,8 ГБ,4,"документация, зарядное устройство",,1.6 кг,Windows Home
"Ноутбук Lenovo ThinkBook 14 G4 IAP 14"" i5/16/1Tb(21DH0000CD)",112 220 ₽,14,1000,16 ГБ,12,"ноутбук, блок питания, документация",,1.4 кг,Windows Home
Ноутбук MateBook D15 Ryzen 5 5500U/15.6/SSD512GB/RAM16GB,80 991 ₽,15.6,512 Гб,16 ГБ,6,Ноутбук; аккумулятор; зарядное устройство; руководство пользователя,42 Вт*ч (номинальная емкость),,Win 11
"Ноутбук HP 15-db1240ur (Ryzen 3 3200U/4Gb/256Gb SSD/15.6""FHD/UMA/NoOS) 22N10EA",33 659 ₽,"15,6""; 15.6""",256 Гб,4 ГБ,2 ядра,зарядное устройство; документация; ноутбук,41 Вт*ч,1.8 кг,Без ОС
Ноутбук Acer TMP414-51-54M6 (NX.VPAER.003),64 993 ₽,14'',256 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,56 Вт*ч,1.4 кг,Windows 10 Pro
"Ноутбук AZ-1402 14"" 2x2.0Ghz/8Gb/256Gb",23 560 ₽,"14""",256 Гб,8 ГБ,2,Блок питания - 1 шт; Ноутбук - 1 шт,4000 mAh,1.5 кг,Windows 10 Pro
Ноутбук Honor MagicBook 16 HYM-W56,79 961 ₽,"16.1""",512 Гб,16 ГБ,6 шт,зарядно устройство-1шт; Ноутбук - 1,56 Втч,1.84 кг,Microsoft Windows 11
Ноутбук Lenovo IP3 15ITL6,57 890 ₽,15.6,256 Гб,8 ГБ,2,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",36 Вт*час,2.2 кг,нет
"Ноутбук ASUS VivoBook 15 15.6""FHD Core I3/8Gb/256SSD/W11",60 900 ₽,15.6,256,8 ГБ,2,"Ноутбук, зарядное устройство, документация",,1.8 кг,Windows Home
"Ноутбук AORUS 17 17.3""i7,RTX 3070,DDR48GB*2,SSD1TB,Win11Home",154 620 ₽,17.3,512,16 ГБ,8,"Ноутбук, документация, блок питания",,2.7 кг,Windows Home
Ноутбук LENOVO IdeaPad Gaming 3 Gen 6,101 590 ₽,15.6,512 Гб,8,4,Руководство пользователя - 1 шт; гарантийный талон -1 шт; Ноутбук - 1 шт; Сетевой адаптер - 1шт,45 Втч,2.25 кг,DOS
"Ноутбук ROG Zephyrus G14 GA402RJ-L4125W 14"" 16GB W11",171 105 ₽,"14.0 """,512 Гб,24,8,"Ноутбук Asus ROG Zephyrus G14 GA402RJ-L4125W 14.0"" WUXGA Eclipse Grey - 1шт.",76 Втч,1.65 кг,Windows 11
Ультрабук Asus Zenbook OLED AMD Ryzen 5625U/8Gb/SSD 512Gb,84 990 ₽,14,512 гб,8 гб,6,,,,Windows 11
"Ноутбук HP Victus 16-e0148ur 16.1""/16 GB [638F3EA]",87 150 ₽,"16.1""",512 Гб,16,6,,,,noOS
"Ноутбук Hiper WORKBOOK 1564, цвет серебристый",34 590 ₽,"15.6""",256 Гб,8,2-ядерный,"ноутбук-1шт.,документация-1шт.,кабель-1шт.",,,Free DOS
"Ноутбук 15"" VivoBook 15 M515DA-BQ1404W Ryzen 3 8ГБ SSD 256ГБ",38 830 ₽,15.6,256 Гб,8,2,"ноутбук, документация, адаптер питания",37 Wh,1.8 кг,Windows Home
"Ноутбук Pro Sprint M i3 1115G4/8Gb/SSD256Gb/15.6""/W11Pro",34 990 ₽,"15.6""",256 Гб,8 ГБ,2,,4250 мА*ч,1.82 кг,Windows
"Apple MacBook Pro 14.2"" 512Gb Space Grey",191 993 ₽,14'',512 Гб,16,10,В подарок Magic Mouse и Русская Pro клавиатура налепная!,,1.61 кг,macOS
Ноутбук Swift 3 SF316-51-79JK (NX.ABDER.00H),105 990 ₽,"16.1""",512 Гб,16 ГБ,4,ноутбук; аккумулятор; блок питания,65 Вт,1.7 кг,Windows
"Ноутбук Dell WYSE 5470 14"" FHD TN\Intel Celeron N4000",29 900 ₽,14,256 Gb; 256,8; 8 ГБ,2,,42 вт*ч,1.8 кг,Windows
MacBook Pro 16/M2 Pro/16/512 (Silver),226 791 ₽,"16,2""",512 ГБ,16 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
"Ноутбук Lenovo V15 G2 ALC Ryzen 5 5500U 12Gb SSD512Gb AMD Radeon 15.6""",73 850 ₽,15.6,512,12 ГБ,6,Инструкция - 1 шт; Ноутбук - 1 шт,,,
"Ноутбук Acer Aspire 5 A515-56-319R [NX.A1GER.003] 15.6""/noOS",35 484 ₽,"15,6""",256 Гб,8 ГБ,2,,,,noOS
Ноутбук K3500PH-KJ491 15.6 i7-11370H 16/512ГБ GTX 1650 4ГБ,84 441 ₽,15.6'',512 Гб,16 ГБ,4 ядра,ноутбук; адаптер питания; документация,50 Вт·ч,1.65 кг,Без операционной системы
Apple MacBook Pro 14/M1 Pro/16/512 (Space Grey),155 792 ₽,"14.2""",512 Гб,16ГБ,8,документация; ноутбук; адаптер питания (US),,,macOS
"Ноутбук 14"" EVE C414 Celeron N3350/ 4Гб/ eMMC128Гб/ W10HSL",15 615 ₽,"14""",128 Гб,4 ГБ,2-ядерный,"ноутбук - 1шт, сетевой адаптер - 1шт, краткое руководство - 1шт",5000 мАч,1.29 кг,Windows 10
Ноутбук Acer Aspire 3 15 FHD IPS Intel Core i3-1115G4 3ГГц,36 900 ₽,"15,6",128 Гб; 128,4; 4 ГБ,2,,36.7 Вт*ч,1.1 кг,Windows 11 Home
"Ноутбук Lenovo ThinkPad T14 G3 14"" FHD i5/16Gb/512SSD/W10H",191 970 ₽,14,512,16 ГБ,12,"Ноутбук, документация, блок питания",,1.53 кг,Windows Home
Ноутбук Lenovo V15 Gen2 82KB0001RU (8ГБ),41 210 ₽,"15.6""",256 Гб,8 ГБ,2,,38 Вт*ч,1.7 кг,Windows 11 Pro
"Ноутбук Xiaomi RedmiBook 14"" Ruilong Edition",72 900 ₽,14,512 Гб,16,4,"Ноутбук, зарядное устройство",,,Windows 10 Home
Ноутбук Asus TUF Dash F15 FX517ZM-HN093 [90NR09Q3-M007B0],105 659 ₽,"15.6""",512 Гб,16,10,,,,noOS
"Ноутбук EVE C421Y Celeron N4020C/4Gb/eMMC128Gb/11.6""/UHD/W11",17 990 ₽,"11,6""",128 гб,4 гб,2,"ноутбук - 1шт, зарядное устройство - 1шт, краткое руководство - 1шт",4000 mAh,1.2 кг,Windows
Inbook X2 Plus-11th XL25/15/Core-i5/16GB/512GB,50 126 ₽,"15""",512 Гб,16 ГБ,,,50 Wh,,Windows
Ноутбук Asus TUF Dash F15 FX517ZR-HN014 [90NR0AV3-M002U0],132 136 ₽,"15.6""",1 Тб,16,10,,,,noOS
"Ноутбук Hiper DZEN MTL1569 15.6"" ,цвет серебристый",57 990 ₽,"15.6""",512 гб,16,4-ядерный,"Ноутбук-1шт.,инструкция-1шт.,гарантийный талон-1шт.",,,Windows 10
"Игровой ноутбук ROG STRIX G15 G513RM-HQ163W 15.6""",171 205 ₽,15.6,1024 Гб,16 ГБ,8,"Ноутбук, блок питания, шнур питания",90 Вт·ч,2.3 кг,Windows Home
Ноутбук HIPER DZEN 46XJDOSU,66 768 ₽,"15,6",256 Гб,8 ГБ,4,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Без ОС
"Ноутбук Acer Extensa 15 15.6""FHD Cel/128SSD/DOS NX.EFTER.00D",34 170 ₽,15.6,128,4 ГБ,2,"Ноутбук, зарядное устройство, документация",,1.9 кг,Без системы
Ноутбук Asus Vivobook S K3502ZA-KJ445W [90NB0WK3-M00RP0],91 217 ₽,"15.6""",1 TB,8,14,,,,Windows 11 Home
"Ноутбук TECNO Megabook T1 i3 12/256GB/15.6""/ Linux",33 990 ₽,15.6,256 гб,12,2,,6060,,Linux
"Ноутбук IRU 14EC5 i5 1135G7/8Gb/SSD512Gb/14.1""/IPS/FHD/DOS",39 190 ₽,"14.1""",512 Гб,8,4-ядерный,"Ноутбук-1шт.,документация-1шт.",4500 mAh,,Free DOS
Ноутбук Asus Vivobook S K3502ZA-KJ375W [90NB0WK2-M00RH0],63 120 ₽,"15.6""",512 Gb,8,12,,,,Windows 11 Home
"Ноутбук HP ENVY x360 Touch 15-eu0046ur 15.6"" (60P14EA)",71 167 ₽,"15.6""",512 Гб,16,6,,,,Windows
"Ноутбук AZ-1404 14""/4x1.5GHz/6Gb/256Gb",21 700 ₽,"14""",256 Гб,6 ГБ,4,Блок питания - 1 шт; Ноутбук - 1 шт,4000 mAh,1.5 кг,Windows
Ноутбук Lenovo ThinkBook 14 G2 ITL,50 781 ₽,14,256 Гб,8 ГБ,2,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",45 Вт*час,1.4 кг,нет
Ноутбук Hiper OFFICE SP MTL1733B1135W11H,79 855 ₽,"17.3""",512 гб,16 гб,4,ноутбук; зарядное устройство; документация,4000 мАч,2 кг,Windows 11 Home
"Ноутбук DELL XPS 13 7390 (i5-10210U/8Gb/256Gb SSD/13,3""",80 593 ₽,"13.3""",256 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,52 Вт*ч,1.29 кг,Windows 10 Pro
"Ноутбук Asus 90NR0B56-M003H0(R9/15,6/1Тб/16Гб/3080/Win11)",175 204 ₽,"15,6""",1 Тб,16,8,,,,Windows 11 Home
"Ноутбук Lenovo ThinkBook 15 G2 ITL Core i3 1115G4/8Gb/SSD256Gb/15.6""/IPS/FHD/Win10Pro/grey",53 063 ₽,15.6,256 Гб,8,2,Ноутбук - 1 шт,,1.7 кг,Windows 10 Pro
Ноутбук Sarbook Ogma Silver для учебы,44 200 ₽,"15,6",512 Гб,8 ГБ,6,"ноутбук, документация, шнур и адаптер питания",5000мА/ч 11.4В,,Windows Home
Ноутбук F+ FLAPTOP I FLTP-5I5-161024-W,56 266 ₽,"15.6""",1 тб,16 гб,10,ноутбук; зарядное устройство; документация,,1.8 кг,Windows 11 Home
"Ноутбук X515JA-BQ4083 15,6"" Intel Core i3-1005G1",35 883 ₽,15.6,256 Гб,8 ГБ,2,"Ноутбук, кабель, документация",37 Вт/ч,1.8 кг,Без системы
Ноутбук F+ FLAPTOP R FLTP-5R5-16512-w,59 273 ₽,"15.6""",512 гб,16 гб,6,ноутбук; зарядное устройство; документация,,1.7 кг,Windows 11
"Ноутбук HP Elitebook 840 256SSD/14.0""IPS/Win11Pro (5P756EA)",99 900 ₽,14,256,8 ГБ,10,"Ноутбук, документация, зарядный блок",,1.36 кг,Windows Pro
Ноутбук HP ENVY x360 Convertible 15 AMD Ryzen 5 5625U,68 900 ₽,15.6,1 Тб,16 ГБ,12,,51 Вт*ч,1.9 кг,Windows 11 Home
Ноутбук Creator Z17 A12UHST-258RU Lunar Gray,349 640 ₽,"17.3""",2048 Гб,64 Гб,14,блок питания; инструкция,90 Втч,2.49 кг,Windows
"Ноутбук HONOR MagicBook X 15 (i3-10110U/8Gb/256Gb SSD/15.6""FHD/UMA/Win10)",77 598 ₽,"15.6""",256 Гб,8,2 ядра,зарядное устройство; документация; ноутбук,3665 мА*ч,1.4 кг,Windows 10 Home
Ноутбук Digma EVE 15 C423/8GB/512GB SSD/W11Pro (NR3158DXW01),39 910 ₽,15.6,512,8 ГБ,2,"Ноутбук, блок питания, документация",,1.7 кг,Windows Pro
Ноутбук Lenovo V15-IIL Core i5 1035G1/8Gb/SSD512Gb/Win10Pro/,61 740 ₽,"15,6",512 гб,8,4,,,,Windows 10 Pro
HP VICTUS AMD Ryzen 5 5600H / 16ГБ / 512SSD / GTX1650 4ГБ /,74 999 ₽,"16,1""-40,64 см",512 Гб,16 гб,6,,6400 мАч,,отсутствует
"Ноутбук TECNO Megabook T1/ i3 12/256GB/15.6""/ Win 11/",35 990 ₽,15.6,256 Гб,12 ГБ,2,,,,Windows 11 Home
Ноутбук для работы Lenovo IdeaPad L3 15ITL6,64 990 ₽,"15,6 """,256 Gb,8 GB,2,,36 Вт*ч,2 кг,Windows 11
"Ноутбук HP 15s-eq2136ur Ryzen 3 5300U/8Gb/SSD256Gb/15.6""/IPS/FHD/W11/grey",63 290 ₽,"15.6 """,256 Гб,8 ГБ,четырехъядерный,зарядное устройство; документация; Ноутбук - 1 шт,41 Вт*ч,1.69 кг,Windows 11 Home
"Ноутбук IRU 14EC3 i3 1115G4/8Gb/SSD512Gb/14.1""/IPS/FHD/DOS",31 890 ₽,"14.1""",512 Гб,8,2-ядерный,"Ноутбук-1шт.,документация-1шт.",4500 мАч,,
Ноутбук ROG STRIX G15 G513RM-HQ163 15.6 165Hz/16ГБ/1ТБ/3060,153 651 ₽,15.6,1 Тб,16,8,документация; адаптер питания; ноутбук,90 Вт*ч,2.3 кг,Без операционной системы
Ноутбук Pavilion Aero 13-be0842nw White (61R99EA),99 990 ₽,"13.3""",1024 Гб,16 ГБ,8,Ноутбук HP; блок питания; аккумулятор; инструкция,43 Втч,1 кг,Windows
"Ноутбук 15"" Acer Extensa EX215-22-R8MY Ryzen 3 4ГБ SSD 128ГБ",34 118 ₽,15.6,128 Гб,4,2,"ноутбук, адаптер питания, документация",,1.9 кг,Windows 10 Home
Ноутбук Lenovo 15ARE05 81W400D8RU,46 629 ₽,"15.6""",256 Гб,8 ГБ,6 ядер,"зарядное устройство, ноутбук",35 Вт*ч,1.64 кг,Windows 10
"Ноутбук HP Elitebook 840 i5-1235U/512SSD/14.0"" PS/(6F607EA)",126 900 ₽,14,512,16 ГБ,10,"Ноутбук, документация, зарядный блок",,1.36 кг,Windows Pro
Ноутбук Pavilion Gaming Laptop 15-dk2258nia (60H72EA),95 990 ₽,"15.6""",512 Гб,16,4,Блок питания; Инструкция,52.5 Втч,2.28 кг,Windows 11 Home
Ноутбук 13-inch MacBook Pro: M2 8GB/512ГБ SSD Silver,137 961 ₽,13.3,512 Гб,8,8,Apple 13-inch MacBook Pro; Адаптер питания USB-C мощностью 67 Вт; кабель USB-C для зарядки (2 м),"58,2 Вт*ч.",1.4 кг,macOS
Ноутбук Apple MacBook Pro 13 8/256SSD Silver (MR9U2),142 340 ₽,"13,3″ - 33,78 см",256 Гб,8 ГБ,4,ноутбук; адаптер питания; кабель USB-C; документация,,1.3 кг,
MacBook Pro 16/M2 Max/32/1 (Space Grey),319 191 ₽,"16,2""",1 ТБ,32 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
Ноутбук Acer Swift 3 SF314-511-509X [NX.ABLER.00E]/14/i5/DOS,47 242 ₽,"14""",512 Гб,8 ГБ,4,,,,noOS
"Ноутбук Azerty AZ-1509 15.6""/4x2.0GHz/16Gb/2Tb",34 900 ₽,"15.6""",2048 Гб,16 ГБ,4,"ноутбук, блок питания",5000 mAh,1.7 кг,Windows 10 Pro
Ноутбук Acer Aspire 5 A515-57-51W3 Grey,84 570 ₽,15.6,512,16 ГБ,10,"адаптер питания, документация",,1.8 кг,DOS
"Ноутбук Acer NX.ADDER.00R(i7/15,6/512Гб/8Гб/UMA/noOS)",50 536 ₽,"15.6""",512 Гб,8 ГБ,4,,,,noOS
Ноутбук Aspire 3 A315-59G-782H Silver (NX.K6WER.004),74 990 ₽,"15,6",512 Гб,8 ГБ,10,блок питания; инструкция,65 Вт,1.78 кг,нет
Ноутбук 15'6 16+512 SSD IPS 2560x1440,41 778 ₽,15.6'',512 Гбайт,16 ГБ,4 ядра 4 потока,"зарядное устройство -1шт; Ноутбук - 1 шт; Бумажная инструкция -1шт; накладка на клавиатуру; Беспроводная мышь - 1 шт, Коврик -1 шт, Сумка 1- шт",30 Ah,1.4 кг,Windows 11 Home; Windows
"Ноутбук Hiper EXPERTBOOK MTL1577 15.6""",63 790 ₽,"15.6""",256 Гб,64,8-ядерный,"Ноутбук-1шт.,документация-1шт.",4800 мА*ч,,Free DOS
Ноутбук Asus VivoBook X515FA-BR037,58 730 ₽,"15.6; 15.6 ""; 15.6 дюйм",256 Гб; 256 Gb; 256,4 (DDR4); 4 GB; 4,2 ядер; 2 шт; 2,Ноутбук - 1 шт,,1.8 кг,DOS; DOS / без ОС
Ноутбук LENOVO V15 G2 ALC 82KD0043RM,51 989 ₽,"15.6""",512 Гб,8,6,"Ноутбук - 1 шт.,; Инструкция пользователя - 1 шт.,; Гарантийный талон - 1 шт",,1.7 кг,DOS
Ноутбук M1702QA-AU007W Quiet Blue (90NB0YA2-M00120),79 990 ₽,"17.3""",512 Гб,8 ГБ,6,ноутбук; блок питания; инструкция,42 Втч,2.1 кг,Windows 11
Ноутбук Apple MacBook Pro 16 2021 MK183RU/A (EAC),219 950 ₽,16.2,512 Гб,16,10,,100Вт*ч,2.1 кг,macOS Big Sur
"Ноутбук Acer Extensa 15 15.6"" Cel/256SSD",55 000 ₽,15.6,256,4 ГБ,2,,,,Windows Home
Ноутбук Acer Predator Helios 300 PH315-54 [NH.QC2ER.007],95 776 ₽,"15,6""",512 Гб,16 ГБ,8,,,,noOS
Ноутбук Acer TravelMate P2 TMP215-53-564X,56 743 ₽,15.6,256 Gb,8,4,Ноутбук - 1 шт,,1.8 кг,Windows 10 Pro
Ноутбук Lenovo Yoga 9 x360 Intel Core i7 ris Xe Graphics,99 900 ₽,"14.0""",512 Гб,8; 8 ГБ,4,Зарядка,60 Вт*ч,1.5 кг,Windows 10
Ноутбук GF63 Thin 11UD-221RU Black,89 990 ₽,"15.6""",512 Гб,8 ГБ,6,Ноутбук MSI; блок питания; аккумулятор; инструкция,51 ВтЧ,1.86 кг,Windows
"Ноутбук Xiaomi RedmiBook II 14""",62 904 ₽,14,256 гб,8,2,"ноутбук, зарядное устройство",,,Windows 10 Home
Ноутбук Huawei Matebook D15 53013ERX,60 110 ₽,15.6,512 Гб,16 ГБ,4,Ноутбук HUAWEI MateBook D 15; адаптер питания HUAWEI USB-C переменного тока; кабель USB-C; Краткое руководство пользователя,,1.53 кг,Windows 11
Ноутбук Aspire 3 A315-35 (NX.A6LEX.012),36 990 ₽,"15.6""",256 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,36 Втч,1.9 кг,отсутствует
Ноутбук Lenovo V15-ITL G2,45 682 ₽,15.6,256 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.7 кг,NoOC
"Ноутбук Acer TravelMate P2 Core i3 10110U/8Gb/SSD256Gb/15.6""/IPS/FHD/Win10Pro/black",39 524 ₽,15.6,256 Гб,8 ГБ,2,Ноутбук - 1 шт,,1.8 кг,Windows 10 Pro
"Ноутбук Tecno MEGABOOK T1/ i3 12/256GB/15.6""/Lunix",33 989 ₽,15.6,256,12,4,,"3-элементный, 70 Вт·ч",1.48 кг,Lunix
"Ноутбук HASEE T8-DA9NT 16"" IPS 165 Hz Intel i9 12900H",116 370 ₽,"16""",1ТБ,16 ГБ,14-ядерный,Ноутбук - 1 шт; Блок питания - 1 шт; Кабель блока питания - 1; Инструкция - 1 шт; Гарантийный талон - 1 шт,3410 mAh,2.15 кг,Free DOS
Ноутбук Acer Nitro 5 AN517-42 (NH.QG4ER.009),103 430 ₽,"17.3""",1 TБ,16,8,,,,noOS
Ноутбук Acer Extensa 15 EX215-52-36UB [NX.A1GER.00A],33 365 ₽,"15.6""",256 Гб,8,2,,,,noOS
"Larkbook X(Intel N5100/8+256/14""/2240*1400 IPS)",35 175 ₽,"14 """,256 Гб,8 ГБ,4 шт,Инструкция - 1шт.; Ноутбук - 1 шт; Зарядный блок 1 шт,5000 mAh,1.4 кг,Windows 10 Home
Ноутбук Acer Swift 3 SF314-43 [NX.AB1ER.00F],58 581 ₽,"14""",512 Гб,16,8,,,,Windows
Ноутбук Hiper WORKBOOK A1568K A1568K1035WI,50 027 ₽,"15.6""",512 Гб,8 ГБ,4,"ноутбук, блок питания, документация",3350 мА*ч,1.5 кг,Windows 11
"Ноутбук ASUS 15.6"" i3 8гб SSD 512 Intel UHD Graphics",49 136 ₽,15.6,512 Гб,8 ГБ,2,ноутбук; адаптер питания; документация,37 Втч,1.8 кг,Без ОС
"Inbook Y1 PLUS 10-th XL28/15,6/Core-i3/8GB/256GB",31 971 ₽,"15,6",256 Гб,8 ГБ,4,"Зарядка; USB кабель 1,8 м.",4330mAh,1.76 кг,
Ноутбук Hiper OFFICE SP MTL1733A1135W11H,77 851 ₽,"17.3""",512 гб,8 гб,4,ноутбук; зарядное устройство; документация,4000 мАч,2 кг,Windows 11 Home
Asus Vivobook Ryzen 5 5600H /8ГБ/512SSD,66 300 ₽,16,512 Гб,8 гб,6,"Ноутбук, блок питания, инструкция",50 мА*ч,1.7 кг,DOS
"KUU Yepbook Pro(Intel N5095/12Gb+256Gb/15,6""/Windows 11 Pro)",28 800 ₽,"15.6""",256 Гб,12 ГБ,4 ядра,ноутбук; блок питания; инструкция; гарантийный талон,4500 мА*ч,2 кг,Windows 11 Pro
Labwe LPS114,23 920 ₽,14,128 Гб,8 ГБ / DDR4,4,мышка,5500 мА*ч,,Windows 10
Ноутбук IdeaPad 3 15ALC6 Gray (82KU01LSMH),78 990 ₽,"15.6""",512 Гб,16 Гб,8,ноутбук; блок питания; инструкция,,1.65 кг,Windows
Ноутбук HP 250 G8 (3V5F4EA),108 784 ₽,"15.6 дюйм; 15.6; 15.6 """,256 Гб; 256 Gb; 256,8; 8 GB; 8 ГБ,,Ноутбук - 1 шт,,1.74 кг,
Ноутбук Lenovo ThinkBook 14-ITL,75 177 ₽,14,256 Гб,8,4,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",45 Вт*час,1.4 кг,Windows 11 Pro
"Ноутбук TECNO T1/ i3 12/256GB/15.6""/ Win 11",35 990 ₽,15.6,256 Гб,12 ГБ,2,,6060 мАч,,Windows
Ноутбук Acer A315-35-P8RP [NX.A6LER.00N] 15.6/noOS,28 417 ₽,"15,6""",256 Гб,4 ГБ,4,,,,noOS
Ноутбук F+ FLAPTOP R FLTP-5R5-8256-W,53 260 ₽,"15.6""",256 гб,8 гб,6,ноутбук; зарядное устройство; документация,,1.7 кг,Windows 11 Home
Ноутбук Megabook T1 (i5) 16/512Гб (Windows),45 990 ₽,15.6,512G,16 ГБ,4,"документация, адаптер питания","3-элементный, 70 Вт·ч",1.48 кг,Windows 11 Home
Inbook X2-11th XL23/14/Core-i5/8GB/512GB,42 899 ₽,14,512 Гб,8 ГБ,2,,50 Втч,,Windows
Мощный ноутбук Sarbook Nova + Silver,61 750 ₽,"15,6",512 Гб,20 Гб,8,"ноутбук; документация; Шнур, блок питания",5000мА/ч 11.4В,,Windows Home
"Ноутбук ASUS VivoBook 15.6"" i7/16Gb/512SSD/GTX 1650/4Gb/DOS",109 550 ₽,15.6,512,16 ГБ,8,"Ноутбук, зарядное устройство, документация",,2.14 кг,Без системы
"Ноутбук IPS 15,6"" FHD 4-Ядра 12/256gb",34 474 ₽,15.6'',256 Гб,12 ГБ,4 ядра,ноутбук; чехол для ноутбука; Беспроводная мышь; зарядный блок,,1.6 кг,Windows 10 Pro
Ноутбук 15s-fq5031ci Chalkboard Gray (6J5Y1EA),71 190 ₽,"15.6""",512 Гб,16 ГБ,10,ноутбук; блок питания; инструкция,3700 мАч,1.69 кг,отсутствует
